,commenter,comments,publishedAt,totalReplyCount
2584,KosAle,la industria musical:,2023-10-19T00:32:47Z,0
2585,Juliitzel Garcia,I love it,2023-10-19T00:32:47Z,0
2586,Danielson Silveira,TAYLOR TE AMAMOSS,2023-10-19T00:32:47Z,0
2587,Dylan Rains,💃🕺💃🕺🩷,2023-10-19T00:32:46Z,0
2588,Katherine Leigh,🩷🩵,2023-10-19T00:32:46Z,0
2589,Lara Deinert Plotnikova,I LOVE ITT,2023-10-19T00:32:46Z,0
2590,zoee ,WHATSHIFNDD,2023-10-19T00:32:46Z,0
2591,EN OTROS MUNDOS,What? ❤😱,2023-10-19T00:32:46Z,0
2592,gabby ୨୧,THIS SLAYS TAY,2023-10-19T00:32:46Z,0
2593,emerie diane,oh!!!,2023-10-19T00:32:46Z,0
2594,Humberto Az,Omggg love it ❤,2023-10-19T00:32:46Z,0
2595,Contando com Vick ,I LOVE IT,2023-10-19T00:32:46Z,0
2596,Micaela S. 🤍,QUE😭,2023-10-19T00:32:46Z,0
2597,❥︎ Ximena,QUEEEE AHHH,2023-10-19T00:32:45Z,0
2598,Joo,I love youuu,2023-10-19T00:32:45Z,0
2599,Melanie Alagastino,TE AMO,2023-10-19T00:32:45Z,0
2600,Evelin Iacobone,LOOOOOVE IT!❤,2023-10-19T00:32:45Z,0
2601,Emily Cuart,LOVE IT 😍,2023-10-19T00:32:45Z,0
2602,•SwiftlyMe•,TAYLOR ITS SO AMAZING I LOVE YOU SO MUCHH 🫶🫶🫶🫶🫶🐱🐱🐱,2023-10-19T00:32:45Z,0
2603,Ba ba,LOVE IT TAY,2023-10-19T00:32:45Z,0
2604,Fernando Alvarez,❤❤❤❤❤,2023-10-19T00:32:45Z,0
2605,Aarushi Gupta,MOM BEING THE ULTIMATE QUEEEEEN🩷🩷🩷,2023-10-19T00:32:45Z,0
2606,I im The best,❤❤❤,2023-10-19T00:32:45Z,0
2607,Vanessa Geovana,FINALLY,2023-10-19T00:32:45Z,0
2608,Leya Mathurin,Yay Taylor my favorite,2023-10-19T00:32:45Z,0
2609,Katrina,TAYLORRRR THIS IS AMAZING,2023-10-19T00:32:45Z,0
2610,Srilekha S,Lots of love from India 🇮🇳🇮🇳🇮🇳,2023-10-19T00:32:45Z,0
2611,Clara Andrade,pensei que era o clipe,2023-10-19T00:32:45Z,0
2612,Eden Taylor’s Version,WHAT IS SHE HINTING AT,2023-10-19T00:32:44Z,0
2613,Olivia R.,HI,2023-10-19T00:32:44Z,0
2614,TARLOVESTAYLORSWIFT,MOTHER IS FR MOTHERING!,2023-10-19T00:32:44Z,0
2615,Mariana Ramírez,❤❤❤❤❤,2023-10-19T00:32:44Z,0
2616,Magui Rauda,OMG I LOVE YOU,2023-10-19T00:32:44Z,0
2617,sassy ham fan,EARLYY,2023-10-19T00:32:44Z,0
2618,Angee🩷,TAYLOR MEXICO TE AMA 💓💓,2023-10-19T00:32:44Z,0
2619,ZACHZAY,Wow ❤❤❤,2023-10-19T00:32:44Z,0
2620,Mustafa The dxn,Realist shi I’ve seen all week,2023-10-19T00:32:43Z,0
2621,Charlie,O QUEEW,2023-10-19T00:32:43Z,0
2622,Garry495,I WENT TO THE ERAS TOUR MOVIE PREMIERE !!,2023-10-19T00:32:43Z,0
2623,sofi p,Y A ESTA TIA,2023-10-19T00:32:43Z,0
2624,𝘝𝘭𝘰𝘨𝘴.𝘣𝘺𝘳𝘰𝘴𝘪𝘦,I LOVE IT AND U TAYLORRRR ❤❤❤❤❤❤❤❤❤,2023-10-19T00:32:43Z,0
